2,AC18022B,0,3873,AIR INDIA,B707-400,VT-DJI,Aeroclassics Air India B 707-437 1:400 - AC18022B - ID#3873; 1960s - Delivery  Colors. Named  Nanda Devi .VT-DJI,1:400,122.0,20.0,0.0,AEROCLASSICS,EBAY:marketa2218,2011-02-06,False,2
3,HE502238,0,12793,KINGFISHER,A320-200,VT-KFA,Herpa Kingfisher Airlines A320-232 1:500 - 502238 - ID#12793 ; 2005s  Colors. New Generation II;VT-KFA,1:500,26.0,3.0,0.0,HERPA,DAC:,2011-02-06,False,3
7,DRW55934,0,13473,QATAR AIRWAYS,A330-200,A7-ACG,Dragon Wings Qatar Airways A330-202 1:400 - 55934 - ID#13473 : Asian Games - Doha 2006 - Blue  Colors. With Stand.  A7-ACG;PART OF 2 PLANE SET,1:400,20.95,0.4,0.0,DRAGON WINGS,3000toys.com,2011-02-04,False,6
11,MP5805,0,17047,LUFTHANSA,A340-600,NA,Model Power Lufthansa A340-642 1:500 - 5805 - ID#17047; 1990s  Colors. With  Star Alliance  Logo. With Stand.NA,1:500,14.95,0.4,0.0,MODEL POWER,3000TOYS.COM,2011-02-04,False,10
12,AC4XEAJ,0,15977,EL AL,B767-300ER,4X-EAJ,Aeroclassics El Al B 767-330ER 1:400 - AC4XEAJ - ID#15977 ;  2000s  Colors. With All-White Fuselage.4X-EAJ,1:400,15.0,1.0,0.0,AEROCLASSICS,JETCOLLECTOR,2011-01-02,False,12
16,BB4-2002-03,0,3980,ANA,B767-300,JA8288,BigBird400 ANA All Nippon Airways B 767-381 1:400 - BB4-2002-03 - ID#3980; Pokemon (Pocket Monsters) 1999  Colors.JA8288,1:400,31.0,0.0,0.0,BIGBIRD400,EBAY:PKMN2525,2012-01-22,False,16
17,IF742002,0,12930,PANAM,B747-100,N658PA,Inflight200 Pan American World Airways B 747-121F 1:200 - IF742002 - ID#12930; 1970s  Colors. Named  Clipper Fortune . With  Cargo  Titles.N658PA,1:200,185.0,19.98,0.0,INFLIGHT200,AIRLINEHOBBY,2012-04-08,False,17
20,ACCFCPK,0,35229,CANADIAN PACIFIC,B737-300,C-FCPK,Aeroclassics Canadian Pacific B737-317 1:400 - ACCFCPK - ID#35229; Mid 1980s  Livery;C-FCPK,1:400,35.0,0.0,0.0,Aeroclassics,EZTOYS,2013-03-14,False,20
22,SJGIA009,0,1999,GARUDA INDONESIA,B747-400,PK-GSI,StarJets Garuda Indonesia B 747-441 1:500 - SJGIA009 - ID#1999 ; 1990s  Colors. With Stand.PK-GSI,1:500,6.5,7.0,0.0,STARJETS,EBAY:blatzy6unk,2011-02-13,False,22
23,PH4ANA502,0,16929,ANA,B767-300ER,JA606A,Phoenix Models ANA All Nippon Airways B 767-381ER 1:400 - PH4ANA502; Fly! Panda  Colors. With  Star Alliance  Logo. Celebrating 20 Years of Service to China.JA606A,1:400,34.95,0.0,0.0,PHOENIX MODELS,JUSTPLANEFUN,2011-02-11,False,23
26,0696FF,0,23116,KINGFISHER,A380-800,VT-KIN,Sky500 Kingfisher Airlines A380-841 1:500 - 0696FF; 2000s  Colors.vt-kin,1:500,34.95,6.0,0.0,Sky 500,EBAY:DEMOGRAPHER_X,2011-02-15,False,26
27,PH4DLH346,0,24315,LUFTHANSA,A340-600,D-AIHF,Phoenix Models Lufthansa A340-642 1:400 - PH4DLH346 - ID#24315 ; 1990s  Colors. Named  Lübeck . With  Star Alliance  Logo.  All metal construction with detailed scale landing gear .D-AIHF,1:400,20.44,8.0,0.0,PHOENIX MODELS,EBAY:DEMOGRAPHER_X,2011-02-15,False,27
29,GJAAL1140,0,33740,AMERICAN AIRLINES,B737-800,N962AN,Gemini Jets American Airlines B 737-823WL 1:400 - GJAAL1140 - ID#33740;1980s  Colors.N962AN,1:400,23.45,0.0,0.0,GEMINIJETS,WAFFLECOLLECTIBLES,2013-04-26,False,29
30,PH4KFR561,0,25088,KINGFISHER,A330-200,VT-VJL,Phoenix Models Kingfisher Airlines A330-223 1:400 - PH4KFR561 - ID#25088 ; 2005s  Colors. VT-VJL,1:400,31.95,1.6,0.0,PHOENIX MODELS,WAFFLECOLLECTIBLES,2011-01-01,False,30
31,WID35018,0,35018,QANTAS,B747-400,VH-OJB,Sky400 Qantas Airways B 747-438ER 1:400 - SKY08-XXX - ID#35018;  Fantasy - Golden Wunala Dreaming  Colors.VH-OJB,1:400,44.0,4.0,0.0,SKY400,EBAY:JOHANCHAN2004,2011-01-31,False,31
32,IF743003,0,21375,AIR INDIA,B747-300,VT-EPW,Inflight200 Air India B 747-337SCD 1:200 - IF743003; 1990s  Colors. With Rolling Gears;VT-EPW,1:200,90.0,4.0,0.0,INFLIGHT200,EBAY:JOHANCHAN2004,2011-01-31,False,32
33,IF743003,0,21375,AIR INDIA,B747-300,VT-EPW,Inflight200 Air India B 747-337SCD 1:200 - IF743003; 1990s  Colors. With Rolling Gears;VT-EPW,1:200,90.0,4.0,0.0,INFLIGHT200,EBAY:JOHANCHAN2004,2011-01-31,False,32
35,JC4JAL107,0,21841,JAL,B747-400,JA8904,JC Wings JAL Japan Airlines B 747-446D 1:400 - JC4JAL107 - ID#21841; Dream Express #2- Sweet  Colors.JA8904,1:400,24.0,4.0,0.0,JC WINGS,EBAY:JOHANCHAN2004,2011-01-31,False,35
36,BB5-2002-08,0,2850,JAL,B747-400,JA8908,BigBird JAL Japan Airlines B 747-446D 1:500 - BB5-2002-08 - ID#2850 ;  JAL Dream Express #1 - Friends  Colors.JA8908,1:400,20.0,4.0,0.0,BIGBIRD,EBAY:JOHANCHAN2004,2011-01-31,False,36
37,JC4JAL108,0,21842,JAL,B747-400,JA8083,JC Wings JAL Japan Airlines B 747-446D 1:400 - JC4JAL108 - ID#21842; Dream Express #3 - Family  Colors.JA8083,1:400,20.0,4.0,0.0,JC WINGS,EBAY:JOHANCHAN2004,2011-01-31,False,37
38,JC2CDN082,0,23147,CP AIR,DC 3,CF-CRX,JC Wings CP Air C-47A-DL 1:200 - JC2CDN082 - ID#23147 ; 1970s  Colors.CF-CRX,1:200,23.0,4.0,0.0,FLIGHTLINE 200,EBAY:JOHANCHAN2004,2011-01-31,False,38
39,NM0026,0,4750,AIR NEW ZEALAND,B747-400,ZK-NBW,Netmodels Air New Zealand B 747-419 1:500 -  NM0026 - ID#4750 ; All Blacks  Colors. With  Star Alliance  Logo.ZK-NBW,1:500,14.0,4.0,0.0,NETMODELS,EBAY:JOHANCHAN2004,2011-01-31,False,39
